d,MC,QAE,MC_overlay
5,0.02174757253371051,0.012468903875728377,0.05161378461406247
10,0.044894354774904735,0.03559234041033218,0.04526250118243208
20,0.0739371467514174,0.15892436355073028,0.06852146827622196
40,0.11483976752921313,0.501858765205249,0.1147649828744934
80,0.14362706146910514,1.1237524383804232,0.20508739873830217
120,0.19810524095223647,1.7305454255261343,0.2031751707522245
160,0.21667268274095938,2.4970141231236713,0.22931482800289826
200,0.23851569085064825,1.7511868049573296,0.2549805315803071
